date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:10	22371/22371	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2028%20Jul%202020%2017:14:26%20GMT	https://ibnsino.getmytemplate.com/js/index.js	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/js/index.js	(from https://ibnsino.getmytemplate.com/?storefront=envato-elements)
10:20:11	299802/299802	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Aug%202022%2012:11:18%20GMT	https://ibnsino.getmytemplate.com/css/owl.video.play.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/css/owl.video.play.png	(from https://ibnsino.getmytemplate.com/css/owl.carousel.min.css)
10:20:13	171272/171272	---M--	200	added ('OK')	font/ttf	date:Tue,%2008%20Jan%202013%2021:00:00%20GMT	https://ibnsino.getmytemplate.com/fonts/roboto/Roboto-Regular.ttf	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/fonts/roboto/Roboto-Regular.ttf	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:14	170760/170760	---M--	200	added ('OK')	font/ttf	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/fonts/roboto/Roboto-Bold.ttf	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/fonts/roboto/Roboto-Bold.ttf	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:14	171480/171480	---M--	200	added ('OK')	font/ttf	date:Fri,%2007%20Feb%202020%2011:19:30%20GMT	https://ibnsino.getmytemplate.com/fonts/roboto/Roboto-Black.ttf	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/fonts/roboto/Roboto-Black.ttf	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:15	104380/104380	---M--	200	added ('OK')	font/ttf	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/fonts/Bebas_Neue/BebasNeue-Regular.ttf	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/fonts/Bebas_Neue/BebasNeue-Regular.ttf	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:15	66700/66700	---M--	200	added ('OK')	font/otf	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/fonts/Bebas_Neue/BebasNeue-Regular.otf	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/fonts/Bebas_Neue/BebasNeue-Regular.otf	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:15	103880/103880	---M--	200	added ('OK')	font/ttf	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/fonts/Bebas_Neue/BebasNeue-Bold.ttf	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/fonts/Bebas_Neue/BebasNeue-Bold.ttf	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:16	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/fonts/fontawesome-webfont.eot?v=4.7.0	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/fonts/fontawesome-webfont3e6e.eot	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:16	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/fonts/fontawesome-webfont.eot?	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/fonts/fontawesome-webfontd41d.eot	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:17	77160/77160	---M--	200	added ('OK')	font/woff2	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/fonts/fontawesome-webfont.woff2?v=4.7.0	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/fonts/fontawesome-webfont3e6e.woff2	(from https://ibnsino.getmytemplate.com/css/main.css)
10:20:18	98024/98024	---M--	200	added ('OK')	font/woff	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/fonts/fontawesome-webfont.woff?v=4.7.0	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/fonts/fontawesome-webfont3e6e.woff	(from https://ibnsino.getmytemplate.com/css/main.css)
